;legend;color;marker;linestyle
Land Cover|Other;Other;#CD3333;;
Land Cover|Pasture;Pasture;#E6AB02;;
Land Cover|Urban;Urban;#000000;;
Cropland;Cropland;#8B4513;;
Forest;Forest;#66A61E;;
Other Land;Other;#CD3333;;
Pastures and Rangelands;Pasture;#E6AB02;;
Urban Area;Urban;#000000;;
crop;Cropland;#8B4513;;
crop.bio;Cropland|Energy;#838B83;;
crop.nobio;Cropland|Non-Energy;#8B4513;;
forest;Forest;#66A61E;;
forestry;Forestry;#006400;;
other;Other;#CD3333;;
past;Pasture;#E6AB02;;
urban;Urban;#000000;;
core;core;#000000;;
nitrogen;nitrogen;#CAB2D6;;
carbon;carbon;#CAB2D6;;
phosphorus;phosphorus;#CAB2D6;;
maccs;maccs;#6A3D9A;;
bioenergy;bioenergy;#B2DF8A;;
presolve;presolve;#808080;;
yields;yields;#FDBF6F;;
water_demand;water_demand;#1F78B4;;
water_availability;water_availability;#1F78B4;;
methane;methane;#CAB2D6;;
transport;transport;#E31A1C;;
residues;residues;#FDBF6F;;
processing;processing;#FDBF6F;;
trade;trade;#FB9A99;;
livestock;livestock;#EEEE00;;
landconversion;landconversion;#E31A1C;;
factor_costs;factor_costs;#E31A1C;;
area_equipped_for_irrigation;area_equipped_for_irrigation;#A6CEE3;;
nr_impact;nr_impact;#6A3D9A;;
interest_rate;interest_rate;#FB9A99;;
tc;tc;#E31A1C;;
optimization;optimization;#808080;;
awms;awms;#EEEE00;;
demand;demand;#FDBF6F;;
carbon_removal;carbon_removal;#6A3D9A;;
damages;damages;#FF7F00;;
tax;tax;#FF7F00;;
growth;growth;#FF7F00;;
subsidizeLearning;subsidizeLearning;#FF7F00;;
subsidizelearning;subsidizelearning;#FF7F00;;
techpol;techpol;#A6CEE3;;
emicapregi;emicapregi;#A6CEE3;;
banking;banking;#A6CEE3;;
carbonprice;carbonprice;#A6CEE3;;
fossil;fossil;#E31A1C;;
biomass;biomass;#E31A1C;;
CDR;CDR;#5d206c;;
water;water;#B2DF8A;;
codePerformance;codePerformance;#808080;;
climate;climate;#CAB2D6;;
aerosols;aerosols;#CAB2D6;;
Price|Final Energy|Electricity|Stationary;Electricity|Stationary;#ffdc00;;
Price|Final Energy|Electricity|Transport;Electricity|Transport;#331a00;;
Price|Final Energy|Hydrogen|Stationary;Hydrogen|Stationary;#ff7b00;;
Price|Final Energy|Hydrogen|Transport;Hydrogen|Transport;#ab7bb8;;
Price|Final Energy|Gases;Gases;#1a4114;;
Price|Final Energy|Liquids;Liquids;#db0e00;;
Price|Final Energy|Heating Oil;Heating Oil;#44ba97;;
Price|Final Energy|Heat;Heat;#ff9977;;
Price|Final Energy|Solids;Solids;#6e7700;;
Price|Final Energy|Petrol;Petrol;#29b1da;;
Price|Final Energy|Diesel;Diesel;#08262f;;
Forcing|CO2 (W/m2);CO2;#331a00;;
Forcing|CH4 (W/m2);CH4;#ffe7a0;;
Forcing|N2O (W/m2);N2O;#44ba97;;
Forcing|F-Gases (W/m2);F-Gases;#ff9977;;
Forcing|Aerosol (W/m2);Aerosol;#6e7700;;
Forcing|Other (W/m2);Other;#08262f;;
Secondary Energy|Electricity|w/o CCS;Coal w/o CCS;#0c0c0c;;
SE|Electricity|w/o CCS;Coal w/o CCS;#0c0c0c;;
Secondary Energy|Electricity|Coal|w/o CCS;Coal w/o CCS;#0c0c0c;;
SE|Electricity|Coal|w/o CCS;Coal w/o CCS;#0c0c0c;;
Biomass|w/ CCS;Biomass w/ CCS;#33ff00;;
Biomass|w/o CCS;Biomass w/o CCS;#005900;;
Coal|w/ CCS;Coal w/ CCS;#b2b2b2;;
Coal|w/o CCS;Coal w/o CCS;#0c0c0c;;
Gas|w/ CCS;Gas w/ CCS;#e5e5b2;;
Gas|w/o CCS;Gas w/o CCS;#999959;;
Oil|w/ CCS;Oil w/ CCS;#cc7500;;
Oil|w/o CCS;Oil w/o CCS;#663a00;;
Oil;Oil;#cc7500;;
Coal;Coal;#0c0c0c;;
Gas;Gas;#999959;;
Non-Biomass Renewables;Non-Biomass;#7f7f7f;;
Nuclear;Nuclear;#ff33ff;;
Solar;Solar;#ffcc00;;
Wind;Wind;#337fff;;
Wind|Onshore;Wind Onshore;#337fff;;
Wind|Offshore;Wind Offshore;#334cff;;
Hydro;Hydro;#191999;;
Geothermal;Geothermal;#e51900;;
Net Import;Net Import;#dbd6d0;;
Transmission Losses;Transmission Losses;#79577c;;
Grid;Grid;#7f7f7f;;
Storage;Storage;#9500da;;
Storage|Battery;Battery storage;#9500da;;
Biomass;Biomass;#005900;;
Gases|w/ CCS;Gases w/ CCS;#e5e5b2;;
Gases|w/o CCS;Gases w/o CCS;#999959;;
